Asteroid Number,Asteroid,N-sig,Ref.   ,YYYY-mmm-DD,MMD(AU),Vrel(km/s)
,1989 UP            ,38000,JPL#04  ,11-02-2017,0.0549,8.46
3361,Orpheus            ,340000,JPL#04  ,11/25/2017,0.0607,7.13
3200,Phaethon           ,140000,JPL#13  ,12/16/2017,0.0689,31.89
,1999 JV6           ,23000,JPL#17  ,01-10-2018,0.0956,13.68
,1999 AQ10          ,13000,JPL#30  ,1/29/2018,0.1266,5.8
1981,Midas              ,67000,JPL#15  ,3/21/2018,0.0896,26.51
,1999 KW4           ,37000,JPL#42  ,5/27/2018,0.0772,19.9
,1998 HD14          ,98000,JPL#05  ,09-07-2018,0.1601,6.14
,1998 WT24          ,9800,JPL#11  ,11-11-2018,0.1153,12.41
4953,1990 MU            ,270000,JPL#14  ,11/29/2018,0.1068,23.43
2340,Hathor             ,380000,JPL#10  ,1/13/2019,0.144,10.28
4581,Asclepius          ,4800,JPL#04  ,3/22/2019,0.1377,6.95
,1998 SC15          ,13000,JPL#17  ,4/16/2019,0.1385,17.76
,1998 OH            ,42000,JPL#15  ,5/16/2019,0.1866,18.67
,1999 KW4           ,15000,JPL#42  ,5/25/2019,0.0342,21.52
5604,1992 FE            ,84000,JPL#06  ,6/18/2019,0.1317,15.56
11500,1989 UR            ,600000,JPL#18  ,6/21/2019,0.187,16.21
1620,Geographos         ,4400000,JPL#65  ,8/31/2019,0.1373,15.28
,1999 GS6           ,11000,JPL#07  ,9/15/2019,0.0893,11.7
,1998 HL1           ,15000,JPL#10  ,10/25/2019,0.0415,11.2
,1993 KH            ,38000,JPL#03  ,11-08-2019,0.1014,8.93
4581,Asclepius          ,15000,JPL#04  ,3/25/2020,0.0703,12.77
,1991 DG            ,98000,JPL#05  ,04-06-2020,0.0845,8.88
,1997 BQ            ,87000,JPL#04  ,5/21/2020,0.0411,11.68
,1999 KW4           ,21000,JPL#42  ,5/26/2020,0.1593,24.64
,1999 JD6           ,35000,JPL#42  ,7/20/2020,0.1299,23.72
8014,1990 MF            ,940000,JPL#11  ,7/23/2020,0.0547,7.64
7753,1988 XB            ,110000,JPL#06  ,11/22/2020,0.0662,11.52
,1999 JU3           ,930,JPL#19  ,12/27/2020,0.0515,4.1
,1993 BX3           ,110000,JPL#05  ,1/17/2021,0.0473,3.6
5189,1990 UQ            ,180000,JPL#04  ,05-06-2021,0.0682,13.49
,1994 PM            ,150000,JPL#03  ,08-08-2021,0.1909,31.55
7822,1991 CS            ,380000,JPL#08  ,8/25/2021,0.1454,20.71
,1998 ST27          ,3000,JPL#16  ,10-06-2021,0.1835,13.89
2340,Hathor             ,660000,JPL#10  ,11-01-2021,0.1606,10.01
3361,Orpheus            ,310000,JPL#04  ,11/21/2021,0.0386,8.14
4660,Nereus             ,29000,JPL#09  ,12-11-2021,0.0263,6.58
7482,1994 PC1           ,15000,JPL#14  ,1/18/2022,0.0132,19.55
,1996 FO3           ,5300,JPL#01  ,1/19/2022,0.1372,6.96
,1996 FG3           ,580000,JPL#05  ,05-03-2022,0.0783,8.96
7335,1989 JA            ,200000,JPL#10  ,5/27/2022,0.0269,13.12
5693,1993 EA            ,250000,JPL#09  ,5/28/2022,0.0686,20.39
,1998 HL3           ,5000,JPL#04  ,6/30/2022,0.1589,6.9
,1997 NC1           ,33000,JPL#01  ,07-04-2022,0.1097,8.83
,1994 AW1           ,48000,JPL#06  ,07-09-2022,0.1115,13.18
,1996 GT            ,12000,JPL#02  ,10-04-2022,0.0689,6.01
,1998 SS49          ,260000,JPL#26  ,11/21/2022,0.137,21.35
,1990 HA            ,66000,JPL#05  ,11/25/2022,0.0718,19.2
,1993 VB            ,7800,JPL#04  ,2/22/2023,0.0246,11.22
,1999 RR28          ,1800,JPL#25  ,04-05-2023,0.1175,23.46
4486,Mithra             ,180000,JPL#07  ,04-11-2023,0.1626,13.45
,1998 BB10          ,12000,JPL#04  ,07-11-2023,0.1431,18.86
